artist_name,track_name,genre,features,album
Travis Scott,HYAENA,Rap,,UTOPIA
Travis Scott,THANK GOD,Rap,,UTOPIA
Travis Scott,MODERN JAM,Rap,Teezo Touchdown,UTOPIA
Travis Scott,MY EYES,Rap,,UTOPIA
Travis Scott,GOD'S COUNTRY,Rap,,UTOPIA
Travis Scott,SIRENS,Rap,,UTOPIA
Travis Scott,MELTDOWN,Rap,Drake,UTOPIA
Travis Scott,FE!N,Rap,Playboi Carti,UTOPIA
Travis Scott,DELRESTO (ECHOES),Rap,Beyonce,UTOPIA
Travis Scott,I KNOW ?,Rap,,UTOPIA
Travis Scott,TOPIA TWINS,Rap,"Rob49, 21 Savage",UTOPIA
Travis Scott,CIRCUS MAXIMUS,Rap,"The Weeknd, Swae Lee",UTOPIA
Travis Scott,PARASAIL,Rap,"Yung Lean, Dave Chapelle",UTOPIA
Travis Scott,SKITZO,Rap,Young Thug,UTOPIA
Travis Scott,LOST FOREVER,Rap,Westside Gunn,UTOPIA
Travis Scott,LOOOVE,Rap,Kid Cudi,UTOPIA
Travis Scott,K-POP,Rap,"Bad Bunny, The Weeknd",UTOPIA
Travis Scott,TELEKINESIS,Rap,"SZA, Future",UTOPIA
Travis Scott,TIL FURTHER NOTICE,Rap,"James Blake, 21 Savage",UTOPIA
Drake,Virginia Beach,Rap,,For All The Dogs
Drake,Amen,Rap,Teezo Touchdown,For All The Dogs
Drake,Calling For You,Rap,21 Savage,For All The Dogs
Drake,Fear of Heights,Rap,,For All The Dogs
Drake,Daylight,Rap,,For All The Dogs
Drake,First Person Shooter,Rap,J. Cole,For All The Dogs
Drake,IDGAF,Rap,Yeat,For All The Dogs
Drake,7969 Santa,Rap,,For All The Dogs
Drake,Slime You Out,Rap,SZA,For All The Dogs
Drake,Bahamas Promises,Rap,,For All The Dogs
Drake,Tried Our Best,Rap,,For All The Dogs
Drake,Screw The World - Interlude,Rap,,For All The Dogs
Drake,Drew A Picasso,Rap,,For All The Dogs
Drake,Members Only,Rap,PARTYNEXTDOOR,For All The Dogs
Drake,What Would Pluto Do,Rap,,For All The Dogs
Drake,All The Parties,Rap,Chief Keef,For All The Dogs
Drake,8am in Charlotte,Rap,,For All The Dogs
Drake,Gently,Rap,Bad Bunny,For All The Dogs
Drake,Rich Baby Daddy,Rap,"Sexyy Red, SZA",For All The Dogs
Drake,Another Late Night,Rap,Lil Yachty,For All The Dogs
Drake,Away From Home,Rap,,For All The Dogs
Drake,Polar Opposites,Rap,,For All The Dogs
Tyler The Creator,SIR BAUDELAIRE,Rap,DJ Drama,CALL ME IF YOU GET LOST
Tyler The Creator,LEMONHEAD,Rap,42 Dugg,CALL ME IF YOU GET LOST
Tyler The Creator,WUSYANAME,Rap,"YoungBoy Never Broke Again, Ty Dolla $ign",CALL ME IF YOU GET LOST
Tyler The Creator,HOT WIND BLOWS,Rap,Lil Wayne,CALL ME IF YOU GET LOST
Tyler The Creator,RUNITUP,Rap,Teezo Touchdown,CALL ME IF YOU GET LOST
Tyler The Creator,MANIFESTO,Rap,Domo Genesis,CALL ME IF YOU GET LOST
Tyler The Creator,SWEET / I THOUGHT YOU WANTED TO DANCE,Rap,"Brent Faiyaz, Fana Hues",CALL ME IF YOU GET LOST
Tyler The Creator,RISE!,Rap,DAISY WORLD,CALL ME IF YOU GET LOST
Tyler The Creator,JUGGERNAUT,Rap,"Lil Uzi Vert, Pharrell Williams",CALL ME IF YOU GET LOST
Tyler The Creator,STUNTMAN,Rap,Vince Staples,CALL ME IF YOU GET LOST
Tyler The Creator,WHARF TALK,Rap,A$AP Rocky,CALL ME IF YOU GET LOST
Tyler The Creator,BOYFRIEND GIRLFRIEND,Rap,YG,CALL ME IF YOU GET LOST
Metro Boomin,Annihilate,Rap,"Swae Lee, Lil Wayne, Offset",Spider-Man: Across the Spider-Verse
Metro Boomin,Am I Dreaming,Rap,"A$AP Rocky, Roisee",Spider-Man: Across the Spider-Verse
Metro Boomin,All The Way Live,Rap,"Future, Lil Uzi Vert",Spider-Man: Across the Spider-Verse
Metro Boomin,Danger (Spider),Rap,"Offset, JID",Spider-Man: Across the Spider-Verse
Metro Boomin,Hummingbird,Rap,James Blake,Spider-Man: Across the Spider-Verse
Metro Boomin,Calling,Rap,"Swae Lee, NAV, A Boogie Wit da Hoodie",Spider-Man: Across the Spider-Verse
Metro Boomin,Silk and Cologne,Rap,"EI8HT, Offset",Spider-Man: Across the Spider-Verse
Metro Boomin,Link Up,Rap,"Don Toliver, Wizkid, BEAM, Toian",Spider-Man: Across the Spider-Verse
Metro Boomin,Self Love,Rap,Coi Leray,Spider-Man: Across the Spider-Verse
Metro Boomin,Home,Rap,"Don Toliver, Lil Uzi Vert",Spider-Man: Across the Spider-Verse
Metro Boomin,Nonviolent Communication,Rap,"James Blake, A$AP Rocky, 21 Savage",Spider-Man: Across the Spider-Verse
Metro Boomin,Givin' Up (Not The One),Rap,"Don Toliver, 21 Savage, 2 Chainz",Spider-Man: Across the Spider-Verse
Metro Boomin,Nas Morales,Rap,Nas,Spider-Man: Across the Spider-Verse
Playboi Carti,Go2DaMoon,Rap,Kanye West,Whole Lotta Red
Playboi Carti,M3tamorphosis,Rap,Kid Cudi,Whole Lotta Red
Playboi Carti,Teen X,Rap,Future,Whole Lotta Red
Lil Uzi Vert,Aye,Rap,Travis Scott,Pink Tape
Lil Uzi Vert,Endless Fashion,Rap,Nicki Minaj,Pink Tape
Lil Uzi Vert,Fire Alarm,Rap,Snow Strippers,Pink Tape
Lil Uzi Vert,Werewolf,Rap,Bring Me The Horizon,Pink Tape
Lil Uzi Vert,Patience,Rap,Don Toliver,Pink Tape
Tyler The Creator,Foreword,Rap,Rex Orange County,Flower Boy
Tyler The Creator,Where This Flower Blooms,Rap,Frank Ocean,Flower Boy
Tyler The Creator,See You Again,Rap,Kali Uchis,Flower Boy
Tyler The Creator,Who Dat Boy,Rap,A$AP Rocky,Flower Boy
Tyler The Creator,Pothole,Rap,Jaden Smith,Flower Boy
Tyler The Creator,Garden Shed,Rap,Estelle,Flower Boy
Tyler The Creator,Boredom,Rap,"Rex Orange County, Anna of the North",Flower Boy
Tyler The Creator,911 / Mr. Lonely,Rap,"Frank Ocean, Steve Lacy",Flower Boy
Tyler The Creator,Droppin' Seeds,Rap,Lil Wayne,Flower Boy
Metro Boomin,Creepin',Rap,"The Weeknd, 21 Savage",HEROES & VILLAINS
